,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'le-monde', 'name': 'Le Monde'}",Alexandre Pedro,"France-Argentine : d’un but précoce à une bagarre générale, la soirée agitée et victorieuse des Bleus du football","Les joueurs de Thierry Henry sont en demi-finale des JO 2024 après une victoire (1-0) marquée par une altercation en toute fin de match. Heureux de la victoire et de la ferveur, le sélectionneur n’a pas apprécié le comportement de certains de ses joueurs.",https://www.lemonde.fr/sport/article/2024/08/03/france-argentine-d-un-but-precoce-a-une-bagarre-generale-la-soiree-agitee-et-victorieuse-des-bleus-du-football_6265581_3242.html,https://img.lemde.fr/2024/08/02/180/0/2200/1466/1440/960/60/0/bf4fb36_2024-08-02t211250z-885777501-up1ek821mx9k6-rtrmadp-3-olympics-2024-soccer.JPG,2024-08-03T01:25:12Z,"Lors de la bagarre générale survenue pendant le match France-Argentine, quart de finale masculine de football à loccasion des Jeux de Paris 2024, au stade de Bordeaux, le 2 août 2024. SUSANA VERA / R… [+2858 chars]"
1,"{'id': 'le-monde', 'name': 'Le Monde'}",Elisabeth Pineau,"Marchand de rêves, à nouveau champion olympique en 200 m quatre nages","Le nageur de 22 ans a décroché, vendredi, sa quatrième médaille d’or en six jours, sur une spécialité souvent dédaignée en raison de sa difficulté et à laquelle Léon Marchand redonne ses lettres de noblesse.",https://www.lemonde.fr/sport/article/2024/08/03/marchand-de-reves-a-nouveau-champion-olympique-en-200-m-quatre-nages_6265579_3242.html,https://img.lemde.fr/2024/08/02/0/0/6519/4346/1440/960/60/0/17d6d08_5286499-01-06.jpg,2024-08-03T01:12:40Z,"Léon Marchand arrive premier devant lAméricain Carson Foster (couloir de gauche) et le Britannique Duncan Scott (couloir de droite), lors de la finale du 200 m quatre nages individuel masculin, à loc… [+2874 chars]"
2,"{'id': 'le-monde', 'name': 'Le Monde'}",Gilles van Kote,"Escrime aux JO 2024 : en épée par équipe, les Français s’effondrent à quelques secondes du bronze",Yannick Borel s’est écroulé lors du dernier relais du match pour la troisième place de l’épreuve par équipes. Le reflet d’une saison chaotique.,https://www.lemonde.fr/sport/article/2024/08/03/escrime-aux-jo-2024-en-epee-par-equipe-les-francais-s-effondrent-a-quelques-secondes-du-bronze_6265578_3242.html,https://img.lemde.fr/2024/08/02/0/0/3912/2608/1440/960/60/0/bda07ba_5283461-01-06.jpg,2024-08-03T00:39:46Z,"Lépéiste Yannick Borel à la suite de son combat pour la médaille de bronze à lépée masculine contre le Tchèque Jakub Jurka, lors des Jeux de Paris au Grand Palais, à Paris, le 2 août 2024. FRANCK FIF… [+2958 chars]"
3,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",Le Monde,"Au Venezuela, Maduro dénonce un « coup d’Etat » mené par les Etats-Unis et accuse l’opposition de préparer des « attentats » - Le Monde",,https://news.google.com/rss/articles/CBMimAJBVV95cUxQMTVuQnBZdW5LMUhuYk1sdC1CMDdxdjR6RFI2blpzWFBHSjNFTXRQSVROcUNCb0FkVlRPQVBZTTUtYkZVWGpMWHhYWlMtN196bkZ0QjlONTFyUTd0U0RqUTNpd3NPVFowQmx1WElHVWF3MkVUa0Q4TmhFdXZDbWs4TFhfSWdDckhENzVnMGpITkE2ZnFINjN6Vkl4b2ZoWmNaa2V2V0FhamVuQzk1cEljU1lTRVRqSmR1dVNOYllDcjVvc1NJWkZEZmNfNE40SHhQX0MtN2lsaDVpRF90dGtYLXZGUmh6ZTNjT2dwSEtFZGNTNHNDVjNkcGVRUnNvUGJ1S3NJQkM3NThIQS0yeWNMYlZ3VjRXMFgz?oc=5,,2024-08-03T00:20:14+00:00,
4,"{'id': 'le-monde', 'name': 'Le Monde'}",Clément Martel,"Basket aux JO 2024 : surclassés par l’Allemagne, des Français inquiétants et sans idées avant les quarts de finale","L’équipe de France masculine s’est inclinée, vendredi, face aux champions du monde (70-85). Deuxième de son groupe, elle devrait affronter le Canada en quarts de finale.",https://www.lemonde.fr/sport/article/2024/08/03/basket-aux-jo-2024-surclasses-par-l-allemagne-des-francais-inquietants-et-sans-idees-avant-les-quarts-de-finale_6265576_3242.html,https://img.lemde.fr/2024/08/02/0/0/4656/3104/1440/960/60/0/d7bdb13_5285248-01-06.jpg,2024-08-03T00:19:13Z,"LAllemand Franz Wagner face à Victor Wembanyama, le 2 août 2024 à Villeneuve-dAscq (Nord). THOMAS COEX / AFP
Cétait le test quils espéraient. Un mois de préparation en montagnes russes et un début d… [+2823 chars]"
5,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",Le Monde,Attaque au couteau en Angleterre : soirée de violences à Sunderland - Le Monde,,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQM1pwNnNoTVpXaUl0Y0F0YXpfa0k4em8ybEpEZ0x6MjY2a1g0Q2xobGFjbFF2TjB6ZEJwSk5ocFhrcUo3UXVzZlphWV9TVFZTN2tMa0I2dE9XalVFMDd0ZndDMEtiM1Q2Z2FtQkNRQXhWZnVVazJkZkZUZHRHak9oMnFSLUd2eVNHMm42WVh1MEF2QkVYMkxpOU5TY0puTGZpaWk1aWpnS2VyNUhZREU0X2paX2ZCSXg0S0NoNlEySlZsalhpVEVqbmRPN2ZNTVpRdW83cklB?oc=5,,2024-08-02T23:42:11+00:00,
6,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",franceinfo,Judo aux JO de Paris 2024 : l'embrouille entre Teddy Riner et le Géorgien Tushishvilic inspire les internautes - franceinfo,,https://news.google.com/rss/articles/CBMihAJBVV95cUxOU2VIcUtkcG4ybGw3TldCVzJxYUF0TXZZalppVm8yZlNEczJpYXVoaE80VE54Ulo5U1pjZHF4UFdJdWV5WFotVXkxcG9OVWNvbGJPR3RDMkpGTEViWHl0X1huVHA3U2M4c2hDUy01MjB5dHdEUThVdkV3SGpObmZKcDI3M2ZaeUJVdFIzUzRoZVpxaGczNFp2dHZ3R08wSmtpRDBwZGxRVWZ0Y3dMc1UwbXFtUEJUZFpQWmVsSzdrczV4NHJVSlhEQkc5ZlZCYWdqMzBqUXVlUkRCUmlQU2xrMGFxVUNZeV9pa05vQzhJQjBfN2ZzMEtvcUdCclEwb3Zuc0Z5UA?oc=5,,2024-08-02T22:07:28+00:00,
7,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",TF1 INFO,EN DIRECT - Ukraine : le Kremlin écarte toute avancée diplomatique immédiate avec Kiev après l'échange de prisonniers - TF1 INFO,,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQSTBtSXdoZVJKSkhFWWZIUGNYR3FDT3FpSkhBclVEREVRd0FIWHk0M25ZdmNiTGJYTjhzbnBOS3dmUjl3d1RLeEFkZUs5NzN5dVMtMnlqRDgtWjBJUnBrSWhtemhZN2RmVU9GdmFDTXpmVWUyckJUVTc5OVhFUWIwQUhvVVgxaVF3bmlITHFBN3Z1ekkwZU9obWh1bm9tY3E2NVA5UHRsTElYUktibXIzd1k1SU5NU19kUmJZeFhIR0MxUjZnV3RJVER2MGlLUzE3dWpjYnFJbFUwOEhSMjg0eVROd25rZXU10gHuAUFVX3lxTE5HZGlMWkYwMVlacFpXVEJfdkN0RFdXNGUycDRmRWFTUTRnNFVlRGIycm9pa2Y0MHpnOTFmdG9veTJoY192eU1hb1NzbGt5UnkzQ205SXFJSnRScXMxdG4ya01xR0J2NWh0a3hJdjE2dHdicmtzazZZeTl2aUpWSVlXTGYzdDFrVm5Naml6OFd3YzNHSEdrT1lxUU93VkVyVjBuVUsxSjJxVXlaWWxad0tHSi1ZWjlCYmhKUldGTTBnSHo0SXA4bjdZTWh5V19zdVNTWDNENkRZV3hwRnYxcnVnYlVjQ1pxSElBZTRObHc?oc=5,,2024-08-02T21:41:12+00:00,
8,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",franceinfo,"Guerre au Proche-Orient : Paris appelle les Français ""de passage en Iran"" à quitter le pays ""au plus tôt"" - franceinfo",,https://news.google.com/rss/articles/CBMiiAJBVV95cUxPcDVuRE5YZ1ZIemFQb0FhTWJKTlVMZTVxb1U2RlpSOWRwbGoyVFlteVB2U0dxQ28wenRpNU1iUjFwUGxuMEZWc016VGtWaEFvd1MxeUVhWVBFX1dzcDh5ME1YLTdldDV4ZE9GRFdSNXJKd09EaGJteUFJS2dySjVNLUdrRE1QUWxRTTFoM3o5RE9CeGJ0amg4Vm5kVUNWRUxxQnU2eEQ1YVVpdEJZLTF0clBWRTVQb2d5aVk1RTQwOTRBZkw2TXpUNzRaNzhTSjVoQXdiTWZ6REpkVENWMFhxMURxYzBYVEpNWnNXLWFzUng3ZF9KMlNCbHZuLUx4d2k2M1RSRWVDa0M?oc=5,,2024-08-02T21:29:55+00:00,
9,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",Libération,Etats-Unis : Kamala Harris assurée d’être la candidate démocrate à l’élection présidentielle - Libération,,https://news.google.com/rss/articles/CBMijAJBVV95cUxOWmd2eTRJRHVMZll5cXNnbktLQ29LZERNQnI2cnF1VU41dEJvbXV4QnBndWd2dnVoS2ZBS0k4U1lOWVI5STNBcVJYRm1wcVBIZnhqaEt2SHNqcFU0T09NSHJyTGc4bnZXam1SaTNjaThyX1RIaWo5TnphQ1ZHLWpoRm4zQWl4enFpYUdNamptc2JkcTlkNmlMZWlCN1VGakJNaVZjbkRMbkFCN3NFN3luTGdBMkgwZVNKM05ndTVrRkpWcnhlbFZhNmgyUTg3dmhqZGYwcm94UUIxSTZCUHBEZUtmcGxBdU5BeUxQSGk2WVZIQlVMUldTWWg2LW9pa3Fyc203OUtUckl6bXBi?oc=5,,2024-08-02T19:51:00+00:00,
10,"{'id': 'google-news-fr', 'name': 'Google News (France)'}",Midi Libre,"VIDÉO. Orage violent, précipitations… un déluge s’abat sur Montpellier, des ralentissements sur l'autoroute A9 - Midi Libre",,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOTTN0Q0tia1F0aWt6a1BzMDFLSjdMQm9pTE1wdVdsWFQ4dmpzdE8xcVZ0MDg0S091U09WSWlGUkI0YU15T1JTUTNkSncySFdvOTB4cUlwTXMyeS1lTTJUUWk1NHEyZ0x4TVN2OVhsUFd6UjlnZXlvU043WVRaalZRRmYzQWRYTFRLLUlLTHpSRFRYOFR6UkNZaHdGaEhCSkc2Q2ZHRGN5WV9fam9fMVdqaWdraWpFWlV4QlFJOXkySDUyd0ZTTHFWZ3A1dWVIczF5SFEwaWxNLVY1SGpFb0Y4NUYwd1c4a0Z0bU9DY0thUkIxb1Y4MkE?oc=5,,2024-08-02T18:39:00+00:00,
